          0.000000     0.000000
    1000000.000000     0.007774
    2000000.000000     0.015587
    3000000.000000     0.023436
    4000000.000000     0.031324
    5000000.000000     0.039248
    6000000.000000     0.047210
    7000000.000000     0.055209
    8000000.000000     0.063245
    9000000.000000     0.071318
   10000000.000000     0.079427
   11000000.000000     0.087573
   12000000.000000     0.095756
   13000000.000000     0.103975
   14000000.000000     0.112230
   15000000.000000     0.120521
   16000000.000000     0.128848
   17000000.000000     0.137211
   18000000.000000     0.145610
   19000000.000000     0.154044
   20000000.000000     0.162514
   21000000.000000     0.171019
   22000000.000000     0.179559
   23000000.000000     0.188134
   24000000.000000     0.196744
   25000000.000000     0.205389
   26000000.000000     0.214068
   27000000.000000     0.222782
   28000000.000000     0.231530
   29000000.000000     0.240313
   30000000.000000     0.249130
   31000000.000000     0.257981
   32000000.000000     0.266865
   33000000.000000     0.275784
   34000000.000000     0.284735
   35000000.000000     0.293721
   36000000.000000     0.302740
   37000000.000000     0.311792
   38000000.000000     0.320877
   39000000.000000     0.329995
   40000000.000000     0.339146
   41000000.000000     0.348329
   42000000.000000     0.357546
   43000000.000000     0.366794
   44000000.000000     0.376075
   45000000.000000     0.385388
   46000000.000000     0.394734
   47000000.000000     0.404111
   48000000.000000     0.413520
   49000000.000000     0.422960
   50000000.000000     0.432432
   51000000.000000     0.441936
   52000000.000000     0.451471
   53000000.000000     0.461037
   54000000.000000     0.470634
   55000000.000000     0.480261
   56000000.000000     0.489920
   57000000.000000     0.499609
   58000000.000000     0.509329
   59000000.000000     0.519079
   60000000.000000     0.528860
   61000000.000000     0.538670
   62000000.000000     0.548511
   63000000.000000     0.558381
   64000000.000000     0.568281
   65000000.000000     0.578211
   66000000.000000     0.588170
   67000000.000000     0.598158
   68000000.000000     0.608176
   69000000.000000     0.618223
   70000000.000000     0.628298
   71000000.000000     0.638403
   72000000.000000     0.648536
   73000000.000000     0.658698
   74000000.000000     0.668888
   75000000.000000     0.679106
   76000000.000000     0.689353
   77000000.000000     0.699628
   78000000.000000     0.709930
   79000000.000000     0.720261
   80000000.000000     0.730619
   81000000.000000     0.741004
   82000000.000000     0.751417
   83000000.000000     0.761857
   84000000.000000     0.772325
   85000000.000000     0.782819
   86000000.000000     0.793340
   87000000.000000     0.803888
   88000000.000000     0.814463
   89000000.000000     0.825064
   90000000.000000     0.835691
   91000000.000000     0.846345
   92000000.000000     0.857024
   93000000.000000     0.867730
   94000000.000000     0.878462
   95000000.000000     0.889219
   96000000.000000     0.900002
   97000000.000000     0.910810
   98000000.000000     0.921643
   99000000.000000     0.932502
  100000000.000000     0.943386
