 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 (  0.00+ -0.00j)
 (  0.00+ -0.00j)
 (  0.00+  0.00j)
 (  0.00+  0.00j)
 (  0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 (  0.00+ -0.00j)
 (  0.10+ -0.41j)
 ( -0.00+  0.00j)
 (  0.00+ -0.00j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.05+  0.22j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 (  0.02+ -0.09j)
 (  0.00+  0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.01+  0.02j)
 ( -0.00+ -0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 (  0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.42+  0.26j)
 ( -0.00+ -0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 ( -0.00+ -0.00j)
 (  0.15+  0.07j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.04+ -0.10j)
 (  0.00+ -0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 ( -0.00+ -0.00j)
 (  0.01+  0.05j)
 ( -0.00+ -0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+ -0.01j)
 (  0.00+  0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.00+  0.00j)
 (  0.00+ -0.00j)
 (  0.23+ -0.14j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.13+  0.02j)
 ( -0.00+ -0.00j)
 ( -0.00+ -0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 (  0.05+  0.02j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.00+  0.00j)
 ( -0.01+ -0.02j)
 (  0.00+ -0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.00+ -0.00j)
 (  0.00+  0.01j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+  0.00j)
 (  0.00+  0.00j)
 (  0.00+  0.00j)
 ( -0.00+ -0.00j)
 (  0.00+ -0.00j)
 ( -0.00+  0.00j)
